[00:06:36] ,hero_swap,245.05,1팀,Fielder,우양,브리기테,0
[00:06:37] ,hero_spawn,245.05,2팀,ZEST,파라,,0
[00:06:43] ,hero_swap,245.05,1팀,Fielder,일리아리,우양,0
[00:06:46] ,hero_spawn,245.05,2팀,skewed,키리코,,0
[00:06:50] ,hero_spawn,245.05,2팀,Bliss,루시우,,0
[00:06:51] ,hero_swap,245.05,2팀,Bliss,미즈키,루시우,0
[00:06:55] ,hero_spawn,245.05,2팀,Jasm1ne,D.Va,,0
[00:06:57] ,hero_swap,245.05,1팀,Fielder,주노,일리아리,0
[00:07:00] ,hero_swap,245.05,1팀,Fielder,루시우,주노,0
[00:07:36] ,hero_swap,245.05,2팀,Bliss,브리기테,미즈키,0
[00:07:50] ,setup_complete,245.05,2,239.99
[00:07:50] ,hero_swap,245.48,1팀,Fielder,일리아리,루시우,0.43
[00:07:52] ,hero_swap,246.94,1팀,ChiYo,모이라,아나,1.89
[00:07:54] ,hero_swap,249.13,1팀,ChiYo,주노,모이라,2.19
[00:08:04] ,hero_swap,259.46,1팀,SP1NT,트레이서,파라,14.41
[00:08:14] ,payload_progress,269.69,2,1팀,0,10.02
[00:08:43] ,****,298.28,2팀,Jasm1ne,D.Va,1팀,Fielder,일리아리,Ability 2,6.19,0,0
[00:08:50] ,****,305.19,1팀,MER1T,엠레,2팀,Proud,엠레,Primary Fire,14.79,0,0
[00:08:52] ,****,307.72,1팀,MER1T,엠레,2팀,skewed,키리코,Primary Fire,43.31,True,0
[00:08:53] ,hero_swap,308.36,1팀,Fielder,미즈키,일리아리,62.88
[00:08:58] ,****,312.94,1팀,MER1T,엠레,2팀,ZEST,파라,Primary Fire,4.50,0,0
[00:09:05] ,payload_progress,320.71,2,1팀,0,20.01
[00:09:10] ,****,325.02,1팀,HanBin,D.Va,2팀,Bliss,브리기테,Ability 2,3.67,0,0
[00:09:10] ,defensive_assist,325.43,1팀,Fielder,미즈키,0
[00:09:18] ,ultimate_charged,333.59,1팀,MER1T,엠레,0,2
[00:09:21] ,ultimate_start,336.09,1팀,MER1T,엠레,0,2
[00:09:22] ,payload_progress,337.29,2,1팀,0,30.01
[00:09:23] ,****,338.06,2팀,Proud,엠레,1팀,MER1T,엠레,Primary Fire,18.61,0,0
[00:09:23] ,ultimate_end,338.06,1팀,MER1T,엠레,0,2
[00:09:23] ,defensive_assist,338.07,2팀,skewed,키리코,0
[00:09:37] ,ultimate_charged,351.99,1팀,ChiYo,주노,0,2
[00:09:37] ,ultimate_start,352.33,1팀,ChiYo,주노,0,2
[00:09:41] ,ultimate_charged,355.91,1팀,HanBin,D.Va,0,2
[00:09:42] ,ultimate_charged,356.99,2팀,Proud,엠레,0,2
[00:09:42] ,ultimate_charged,357.80,2팀,Jasm1ne,D.Va,0,2
[00:09:44] ,****,359.11,1팀,SP1NT,트레이서,2팀,Bliss,브리기테,Primary Fire,6.03,0,0
[00:09:44] ,defensive_assist,359.27,1팀,Fielder,미즈키,0
[00:09:45] ,ultimate_charged,360.25,2팀,skewed,키리코,0,2
[00:09:45] ,ultimate_start,360.70,2팀,skewed,키리코,0,2
[00:09:45] ,ultimate_end,360.83,1팀,ChiYo,주노,0,2
[00:09:46] ,ultimate_charged,361.34,2팀,ZEST,파라,0,2
[00:09:47] ,****,362.84,1팀,ChiYo,주노,2팀,ZEST,파라,Primary Fire,2.24,0,0
[00:09:48] ,ultimate_start,363.45,2팀,Proud,엠레,0,2
[00:09:48] ,ultimate_charged,363.53,1팀,SP1NT,트레이서,0,2
[00:09:53] ,ultimate_start,368.51,1팀,HanBin,D.Va,0,2
[00:09:54] ,****,369.00,2팀,Proud,엠레,1팀,HanBin,D.Va,Ultimate,5,0,0
[00:09:54] ,offensive_assist,369.08,2팀,skewed,키리코,0
[00:09:54] ,defensive_assist,369.08,2팀,skewed,키리코,0
[00:09:55] ,ultimate_end,370.09,1팀,HanBin,D.Va,0,2
[00:09:56] ,ultimate_charged,371.13,2팀,Bliss,브리기테,0,2
[00:09:57] ,ultimate_end,371.91,2팀,skewed,키리코,0,2
[00:09:58] ,ultimate_end,373.45,2팀,Proud,엠레,0,2
[00:09:59] ,ultimate_start,374.25,1팀,SP1NT,트레이서,0,2
[00:09:59] ,ultimate_end,374.44,1팀,SP1NT,트레이서,0,2
[00:10:05] ,ultimate_start,380.44,2팀,Jasm1ne,D.Va,0,2
[00:10:06] ,remech_charged,381.70,2팀,Jasm1ne,D.Va,0,3
