[00:05:10] ,ability_2_used,162.52,1팀,ChiYo,루시우,0
[00:05:12] ,ability_2_used,163.98,1팀,HanBin,라마트라,0
[00:05:12] ,ability_2_used,163.99,2팀,HeeSang,시메트라,0
[00:05:12] ,****,164.52,1팀,SP1NT,캐서디,2팀,STALK3R,캐서디,Primary Fire,102,True,0
[00:05:12] ,offensive_assist,164.58,1팀,ChiYo,루시우,0
[00:05:12] ,defensive_assist,164.58,1팀,ChiYo,루시우,0
[00:05:13] ,ability_1_used,165.61,1팀,SP1NT,캐서디,0
[00:05:14] ,ability_1_used,166.06,2팀,HeeSang,시메트라,0
[00:05:14] ,ability_1_used,166.47,2팀,vigilante,바티스트,0
[00:05:14] ,ability_1_used,166.63,2팀,HeeSang,시메트라,0
[00:05:15] ,ability_1_used,167.07,1팀,ChiYo,루시우,0
[00:05:15] ,ability_1_used,167.11,1팀,HanBin,라마트라,0
[00:05:15] ,ability_2_used,167.42,2팀,MAX,시그마,0
[00:05:16] ,ability_1_used,168.67,1팀,ChiYo,루시우,0
[00:05:17] ,ultimate_start,169.32,2팀,MAX,시그마,0,1
[00:05:18] ,ability_1_used,169.85,2팀,CH0R0NG,루시우,0
[00:05:20] ,ability_1_used,172.52,1팀,ChiYo,루시우,0
[00:05:20] ,ability_2_used,172.54,1팀,Fielder,키리코,0
[00:05:21] ,ultimate_end,173.47,2팀,MAX,시그마,0,1
[00:05:22] ,ability_1_used,174.19,1팀,ChiYo,루시우,0
[00:05:23] ,ability_1_used,175.07,2팀,STALK3R,캐서디,0
[00:05:24] ,ability_1_used,175.97,2팀,CH0R0NG,루시우,0
[00:05:24] ,ultimate_start,176.48,1팀,CheckMate,시메트라,0,1
[00:05:24] ,ability_1_used,176.57,1팀,ChiYo,루시우,0
[00:05:25] ,ability_2_used,177.20,2팀,HeeSang,시메트라,0
[00:05:25] ,ability_2_used,177.31,1팀,HanBin,라마트라,0
[00:05:25] ,ability_2_used,177.45,2팀,CH0R0NG,루시우,0
[00:05:25] ,ability_1_used,177.66,1팀,ChiYo,루시우,0
[00:05:26] ,ability_1_used,177.82,2팀,CH0R0NG,루시우,0
