[00:04:50] ,ultimate_charged,167.24,1팀,Proper,시온,0,1
[00:04:51] ,ability_1_used,167.59,1팀,Proper,시온,0
[00:04:51] ,ability_2_used,167.72,2팀,ChiYo,루시우,0
[00:04:52] ,ability_1_used,168.73,2팀,ChiYo,루시우,0
[00:04:52] ,ability_2_used,169.37,2팀,CheckMate,리퍼,0
[00:04:52] ,ability_2_used,169.50,1팀,Proper,시온,0
[00:04:53] ,****,169.69,1팀,Bernar,마우가,2팀,ChiYo,루시우,0,4,0,0
[00:04:53] ,offensive_assist,169.71,1팀,shu,키리코,0
[00:04:53] ,defensive_assist,169.71,1팀,shu,키리코,0
[00:04:53] ,defensive_assist,169.75,1팀,Bernar,마우가,0
[00:04:54] ,ability_1_used,171.40,2팀,MER1T,소전,0
[00:04:57] ,ability_1_used,174.51,1팀,Viol2t,루시우,0
[00:04:58] ,ultimate_end,175.16,2팀,MER1T,소전,0,1
[00:04:58] ,ability_1_used,175.16,2팀,Someone,마우가,0
[00:04:59] ,ultimate_end,175.92,1팀,shu,키리코,0,1
[00:04:59] ,ability_1_used,176.04,1팀,Viol2t,루시우,0
[00:05:00] ,ability_1_used,176.78,2팀,CheckMate,리퍼,0
[00:05:00] ,ability_2_used,177.01,1팀,Viol2t,루시우,0
[00:05:01] ,ability_1_used,178.14,1팀,Viol2t,루시우,0
[00:05:02] ,ability_1_used,179.26,1팀,Viol2t,루시우,0
[00:05:02] ,ability_2_used,179.50,1팀,knife,소전,0
[00:05:03] ,ability_2_used,179.65,2팀,MER1T,소전,0
[00:05:03] ,ability_1_used,179.73,2팀,ChiYo,루시우,0
[00:05:03] ,ability_1_used,180.16,1팀,knife,소전,0
[00:05:03] ,ability_1_used,180.30,2팀,MER1T,소전,0
[00:05:03] ,****,180.56,1팀,knife,소전,2팀,MER1T,소전,Ability 2,15.60,0,0
[00:05:04] ,offensive_assist,180.61,1팀,Viol2t,루시우,0
[00:05:04] ,defensive_assist,180.61,1팀,Viol2t,루시우,0
[00:05:04] ,ability_1_used,180.81,1팀,Proper,시온,0
[00:05:04] ,defensive_assist,181.01,1팀,shu,키리코,0
[00:05:04] ,ability_1_used,181.26,1팀,shu,키리코,0
[00:05:05] ,ability_2_used,181.87,2팀,CheckMate,리퍼,0
[00:05:05] ,ability_2_used,182.58,2팀,Someone,마우가,0
[00:05:07] ,ability_1_used,183.94,2팀,Someone,마우가,0
[00:05:07] ,ability_2_used,183.97,1팀,Bernar,마우가,0
[00:05:07] ,ability_2_used,184.08,1팀,shu,키리코,0
[00:05:08] ,ability_2_used,184.90,1팀,Proper,시온,0
[00:05:08] ,****,185.18,1팀,Viol2t,루시우,2팀,CheckMate,리퍼,Primary Fire,2,True,0
[00:05:08] ,defensive_assist,185.23,1팀,shu,키리코,0
[00:05:08] ,defensive_assist,185.26,1팀,Bernar,마우가,0
[00:05:09] ,ability_1_used,186.43,1팀,Bernar,마우가,0
[00:05:09] ,****,186.53,2팀,Someone,마우가,1팀,Proper,시온,Ability 1,73.84,0,0
[00:05:10] ,ability_2_used,186.61,2팀,Fielder,키리코,0
[00:05:10] ,defensive_assist,186.69,2팀,Fielder,키리코,0
[00:05:10] ,defensive_assist,186.75,2팀,Someone,마우가,0
[00:05:14] ,ability_2_used,190.71,2팀,ChiYo,루시우,0
[00:05:15] ,****,191.84,1팀,Bernar,마우가,2팀,Someone,마우가,0,1.02,0,0
[00:05:15] ,offensive_assist,191.89,1팀,Viol2t,루시우,0
[00:05:15] ,ability_2_used,192.21,1팀,Viol2t,루시우,0
[00:05:15] ,defensive_assist,192.31,1팀,shu,키리코,0
[00:05:15] ,defensive_assist,192.34,1팀,Bernar,마우가,0
[00:05:15] ,ability_1_used,192.55,1팀,shu,키리코,0
[00:05:16] ,ability_1_used,193.04,1팀,Viol2t,루시우,0
[00:05:16] ,ability_1_used,193.09,2팀,CheckMate,리퍼,0
[00:05:16] ,ability_1_used,193.14,1팀,knife,소전,0
[00:05:16] ,ability_1_used,193.32,2팀,Fielder,키리코,0
[00:05:16] ,ability_1_used,193.49,2팀,MER1T,소전,0
[00:05:17] ,ability_1_used,194.28,1팀,Bernar,마우가,0
[00:05:18] ,****,194.66,1팀,knife,소전,2팀,Fielder,키리코,Primary Fire,1.10,0,0
[00:05:18] ,offensive_assist,194.71,1팀,Viol2t,루시우,0
[00:05:18] ,defensive_assist,194.71,1팀,Viol2t,루시우,0
[00:05:18] ,defensive_assist,195.09,1팀,shu,키리코,0
[00:05:20] ,ability_2_used,196.82,2팀,CheckMate,리퍼,0
