[00:06:05] ,****,269.36,1팀,knife,엠레,2팀,CheckMate,시메트라,Ability 2,67.68,0,0
[00:06:05] ,offensive_assist,269.44,1팀,Viol2t,제트팩 캣,0
[00:06:05] ,defensive_assist,269.44,1팀,Viol2t,제트팩 캣,0
[00:06:05] ,offensive_assist,269.47,1팀,Bernar,라마트라,0
[00:06:08] ,****,271.62,2팀,Someone,시그마,1팀,Viol2t,제트팩 캣,Primary Fire,42.93,0,0
[00:06:08] ,offensive_assist,271.79,2팀,Fielder,키리코,0
[00:06:08] ,defensive_assist,271.79,2팀,Fielder,키리코,0
[00:06:09] ,ultimate_end,273.24,2팀,Someone,시그마,0,1
[00:06:09] ,ability_1_used,273.33,1팀,Proper,에코,0
[00:06:09] ,ability_2_used,273.35,2팀,Someone,시그마,0
[00:06:09] ,ability_2_used,273.36,2팀,ChiYo,주노,0
[00:06:09] ,ability_1_used,273.49,2팀,MER1T,캐서디,0
[00:06:10] ,ability_1_used,274.08,2팀,Fielder,키리코,0
