[00:03:26] ,ability_1_used,127.16,2팀,STALK3R,시온,0
[00:03:26] ,ability_2_used,127.56,2팀,STALK3R,시온,0
[00:03:29] ,ultimate_charged,129.99,1팀,ChiYo,주노,0,1
[00:03:31] ,ability_1_used,132.51,1팀,Fielder,브리기테,0
[00:03:32] ,ability_1_used,133.71,2팀,STALK3R,시온,0
[00:03:34] ,ability_2_used,135.23,1팀,Fielder,브리기테,0
[00:03:35] ,ability_1_used,136.56,1팀,MER1T,시온,0
[00:03:36] ,ability_1_used,137.17,1팀,ChiYo,주노,0
[00:03:36] ,ability_2_used,137.52,1팀,Fielder,브리기테,0
[00:03:38] ,ability_2_used,138.93,2팀,HeeSang,시메트라,0
[00:03:42] ,ability_1_used,142.86,1팀,Fielder,브리기테,0
[00:03:42] ,ultimate_start,143.74,2팀,vigilante,키리코,0,1
[00:03:43] ,ability_1_used,144.29,2팀,CH0R0NG,우양,0
[00:03:43] ,ability_2_used,144.54,1팀,ChiYo,주노,0
[00:03:43] ,ability_2_used,144.62,1팀,SP1NT,벤데타,0
[00:03:44] ,ability_2_used,144.96,2팀,MAX,시그마,0
[00:03:44] ,ability_1_used,145.42,1팀,HanBin,마우가,0
[00:03:45] ,ultimate_charged,145.82,2팀,HeeSang,시메트라,0,1
[00:03:45] ,ability_2_used,146.72,1팀,MER1T,시온,0
[00:03:46] ,ultimate_charged,147.01,1팀,Fielder,브리기테,0,1
[00:03:46] ,ability_1_used,147.11,1팀,ChiYo,주노,0
[00:03:46] ,ability_1_used,147.46,2팀,STALK3R,시온,0
[00:03:46] ,ability_2_used,147.52,1팀,Fielder,브리기테,0
[00:03:47] ,ultimate_start,147.83,1팀,ChiYo,주노,0,1
[00:03:47] ,ability_2_used,148.47,1팀,HanBin,마우가,0
[00:03:48] ,ability_1_used,148.91,1팀,SP1NT,벤데타,0
[00:03:48] ,ability_2_used,148.93,2팀,CH0R0NG,우양,0
[00:03:48] ,ability_2_used,149.15,2팀,STALK3R,시온,0
[00:03:48] ,ultimate_start,149.17,2팀,HeeSang,시메트라,0,1
[00:03:48] ,****,149.51,1팀,SP1NT,벤데타,2팀,STALK3R,시온,Ability 1,64.12,0,0
[00:03:48] ,ultimate_start,149.62,2팀,MAX,시그마,0,1
[00:03:49] ,****,149.81,1팀,SP1NT,벤데타,2팀,HeeSang,시메트라,Ability 1,5.18,0,0
[00:03:49] ,offensive_assist,149.97,1팀,HanBin,마우가,0
[00:03:49] ,defensive_assist,149.97,1팀,HanBin,마우가,0
[00:03:49] ,defensive_assist,149.97,1팀,HanBin,마우가,0
[00:03:49] ,offensive_assist,150.07,1팀,Fielder,브리기테,0
[00:03:49] ,defensive_assist,150.07,1팀,Fielder,브리기테,0
[00:03:51] ,ability_2_used,151.83,2팀,vigilante,키리코,0
[00:03:51] ,ultimate_charged,151.96,2팀,CH0R0NG,우양,0,1
[00:03:51] ,ability_2_used,152.13,1팀,Fielder,브리기테,0
[00:03:51] ,ability_1_used,152.18,2팀,CH0R0NG,우양,0
[00:03:52] ,ability_1_used,152.79,1팀,MER1T,시온,0
[00:03:52] ,ability_1_used,152.85,1팀,Fielder,브리기테,0
[00:03:52] ,ability_1_used,153.75,1팀,HanBin,마우가,0
[00:03:52] ,ability_2_used,153.76,1팀,SP1NT,벤데타,0
[00:03:53] ,ability_2_used,153.81,2팀,MAX,시그마,0
[00:03:53] ,ultimate_end,153.81,2팀,MAX,시그마,0,1
[00:03:53] ,ability_1_used,154.63,2팀,vigilante,키리코,0
[00:03:54] ,ultimate_end,154.95,2팀,vigilante,키리코,0,1
[00:03:54] ,****,154.95,1팀,SP1NT,벤데타,2팀,CH0R0NG,우양,Ability 2,62.11,0,0
[00:03:54] ,defensive_assist,155.14,1팀,HanBin,마우가,0
[00:03:54] ,defensive_assist,155.20,1팀,Fielder,브리기테,0
[00:03:55] ,****,156.34,1팀,ChiYo,주노,2팀,vigilante,키리코,Primary Fire,7.34,0,0
[00:03:55] ,ultimate_end,156.34,1팀,ChiYo,주노,0,1
[00:03:55] ,defensive_assist,156.55,1팀,HanBin,마우가,0
[00:03:55] ,defensive_assist,156.60,1팀,Fielder,브리기테,0
[00:03:55] ,ability_1_used,156.66,1팀,ChiYo,주노,0
[00:03:57] ,ability_2_used,158.09,1팀,Fielder,브리기테,0
[00:03:58] ,ability_1_used,159.22,1팀,MER1T,시온,0
[00:04:00] ,ultimate_end,161.42,2팀,HeeSang,시메트라,0,1
[00:04:01] ,ability_1_used,162.06,2팀,CH0R0NG,우양,0
[00:04:01] ,ability_1_used,162.15,2팀,STALK3R,시온,0
[00:04:01] ,ability_1_used,162.65,1팀,HanBin,마우가,0
[00:04:02] ,hero_swap,162.84,2팀,STALK3R,위도우메이커,시온,162.84
[00:04:02] ,****,162.89,1팀,HanBin,마우가,2팀,MAX,시그마,Ability 1,7.45,0,0
[00:04:02] ,ability_2_used,163.13,2팀,HeeSang,시메트라,0
[00:04:02] ,ability_2_used,163.16,1팀,MER1T,시온,0
