[00:02:54] ,ultimate_charged,104.38,2팀,MER1T,소전,0,1
[00:02:54] ,ability_2_used,104.64,2팀,MER1T,소전,0
[00:02:55] ,ability_2_used,105.37,1팀,Jasm1ne,도미나,0
[00:02:55] ,ability_1_used,105.69,1팀,Bliss,루시우,0
[00:02:55] ,ability_1_used,105.77,2팀,ChiYo,루시우,0
[00:02:57] ,ultimate_start,107.50,2팀,MER1T,소전,0,1
[00:02:58] ,ability_2_used,108.04,2팀,ChiYo,루시우,0
[00:02:58] ,ability_1_used,108.39,1팀,Bliss,루시우,0
[00:02:58] ,ability_1_used,108.51,2팀,Fielder,키리코,0
[00:02:59] ,ability_2_used,109.35,2팀,Someone,라마트라,0
[00:02:59] ,ultimate_end,109.61,1팀,skewed,키리코,0,1
[00:02:59] ,****,109.93,2팀,CheckMate,시메트라,1팀,Proud,바스티온,Secondary Fire,41.27,0,0
[00:03:00] ,offensive_assist,110.04,2팀,ChiYo,루시우,0
[00:03:00] ,ultimate_charged,110.99,1팀,Proud,바스티온,0,1
[00:03:01] ,ability_1_used,111.16,2팀,MER1T,소전,0
[00:03:01] ,ability_1_used,111.47,1팀,Bliss,루시우,0
[00:03:02] ,ultimate_charged,112.06,2팀,Someone,라마트라,0,1
[00:03:02] ,ability_1_used,112.25,1팀,ZEST,시메트라,0
[00:03:02] ,ability_1_used,112.73,1팀,Bliss,루시우,0
[00:03:02] ,ability_2_used,112.84,2팀,CheckMate,시메트라,0
[00:03:02] ,ability_1_used,112.86,1팀,ZEST,시메트라,0
[00:03:03] ,ability_1_used,113.31,2팀,ChiYo,루시우,0
[00:03:03] ,ability_2_used,113.67,1팀,skewed,키리코,0
[00:03:03] ,ability_1_used,113.96,1팀,Bliss,루시우,0
[00:03:04] ,****,114.51,2팀,MER1T,소전,1팀,skewed,키리코,Ultimate,225,True,0
[00:03:04] ,ability_1_used,114.62,2팀,ChiYo,루시우,0
[00:03:04] ,ability_2_used,114.67,1팀,Jasm1ne,도미나,0
[00:03:04] ,defensive_assist,114.73,2팀,Fielder,키리코,0
[00:03:05] ,ability_2_used,115.05,1팀,Bliss,루시우,0
[00:03:05] ,ability_1_used,115.83,2팀,CheckMate,시메트라,0
[00:03:05] ,ability_1_used,115.91,2팀,Someone,라마트라,0
[00:03:06] ,ability_1_used,116.06,1팀,Bliss,루시우,0
[00:03:06] ,ultimate_end,116.23,2팀,MER1T,소전,0,1
[00:03:06] ,****,116.38,2팀,MER1T,소전,1팀,Bliss,루시우,Secondary Fire,36.58,0,0
[00:03:06] ,defensive_assist,116.60,2팀,Fielder,키리코,0
[00:03:07] ,ability_1_used,117.31,1팀,Jasm1ne,도미나,0
[00:03:09] ,****,119.23,2팀,CheckMate,시메트라,1팀,Jasm1ne,도미나,Ability 1,1.49,0,0
[00:03:09] ,defensive_assist,119.43,2팀,Fielder,키리코,0
[00:03:09] ,****,119.48,2팀,MER1T,소전,1팀,ZEST,시메트라,Secondary Fire,26.39,0,0
[00:03:09] ,offensive_assist,119.90,2팀,ChiYo,루시우,0
[00:03:09] ,defensive_assist,119.91,2팀,Fielder,키리코,0
[00:03:09] ,ability_1_used,119.96,2팀,ChiYo,루시우,0
[00:03:10] ,ability_1_used,120.12,2팀,MER1T,소전,0
[00:03:18] ,ability_1_used,128.46,1팀,Bliss,루시우,0
[00:03:18] ,ability_1_used,128.54,2팀,CheckMate,시메트라,0
[00:03:18] ,ability_2_used,128.97,1팀,Bliss,루시우,0
[00:03:20] ,ability_1_used,130.83,2팀,CheckMate,시메트라,0
[00:03:21] ,ability_2_used,131.72,1팀,ZEST,시메트라,0
[00:03:22] ,ability_1_used,132.03,2팀,CheckMate,시메트라,0
[00:03:24] ,ability_1_used,134.38,1팀,Bliss,루시우,0
[00:03:25] ,ability_1_used,135.77,1팀,Bliss,루시우,0
[00:03:26] ,ability_2_used,136.30,2팀,ChiYo,루시우,0
[00:03:26] ,ability_2_used,136.59,2팀,Someone,라마트라,0
[00:03:26] ,ability_2_used,136.94,2팀,MER1T,소전,0
[00:03:28] ,ability_1_used,138.53,1팀,Jasm1ne,도미나,0
[00:03:28] ,ability_1_used,138.56,1팀,Proud,바스티온,0
[00:03:28] ,ability_2_used,138.67,1팀,skewed,키리코,0
[00:03:28] ,****,138.85,1팀,Proud,바스티온,2팀,ChiYo,루시우,Secondary Fire,77.67,0,0
[00:03:29] ,defensive_assist,139.12,1팀,skewed,키리코,0
[00:03:29] ,ability_1_used,139.66,1팀,Bliss,루시우,0
[00:03:30] ,****,140.33,1팀,Proud,바스티온,1팀,Proud,바스티온,Secondary Fire,222.05,0,True
[00:03:30] ,ability_1_used,140.48,2팀,Someone,라마트라,0
[00:03:30] ,offensive_assist,140.56,2팀,ChiYo,루시우,0
[00:03:30] ,defensive_assist,140.59,2팀,Fielder,키리코,0
[00:03:30] ,offensive_assist,140.62,2팀,Someone,라마트라,0
[00:03:31] ,ultimate_charged,141.17,1팀,Jasm1ne,도미나,0,1
