[00:06:09] ,ability_1_used,212.38,2팀,skewed,주노,0
[00:06:10] ,ability_1_used,212.44,2팀,DONGHAK,오리사,0
[00:06:11] ,****,213.79,1팀,Someone,시그마,2팀,Bliss,브리기테,Primary Fire,23.85,0,0
[00:06:11] ,defensive_assist,214.00,1팀,Fielder,키리코,0
[00:06:11] ,ability_1_used,214.08,2팀,ZEST,벤데타,0
[00:06:13] ,ability_1_used,215.50,1팀,MER1T,캐서디,0
[00:06:13] ,ability_1_used,216.37,1팀,Fielder,키리코,0
[00:06:14] ,****,217.10,2팀,ZEST,벤데타,1팀,CheckMate,시메트라,Primary Fire,37.20,0,0
[00:06:14] ,offensive_assist,217.20,2팀,DONGHAK,오리사,0
[00:06:14] ,defensive_assist,217.23,2팀,Bliss,브리기테,0
[00:06:16] ,****,219.07,1팀,Fielder,키리코,2팀,DONGHAK,오리사,0,9.54,0,0
[00:06:16] ,ability_1_used,219.10,1팀,ChiYo,주노,0
[00:06:16] ,defensive_assist,219.18,1팀,Fielder,키리코,0
[00:06:16] ,ability_2_used,219.37,2팀,ZEST,벤데타,0
[00:06:18] ,ultimate_charged,221.09,1팀,Fielder,키리코,0,2
[00:06:19] ,****,222.05,1팀,ChiYo,주노,2팀,ZEST,벤데타,Secondary Fire,13.94,0,0
[00:06:19] ,ability_2_used,222.43,2팀,skewed,주노,0
[00:06:20] ,defensive_assist,222.48,1팀,Fielder,키리코,0
[00:06:20] ,ability_1_used,222.50,1팀,MER1T,캐서디,0
[00:06:20] ,ability_2_used,222.75,1팀,ChiYo,주노,0
[00:06:21] ,ability_1_used,224.18,1팀,Fielder,키리코,0
[00:06:22] ,ability_1_used,225.17,2팀,skewed,주노,0
[00:06:27] ,ability_1_used,229.46,2팀,Proud,소전,0
[00:06:29] ,ability_1_used,231.62,2팀,ZEST,벤데타,0
[00:06:29] ,ability_2_used,231.62,2팀,DONGHAK,오리사,0
[00:06:30] ,ability_2_used,232.64,1팀,CheckMate,시메트라,0
[00:06:30] ,ability_2_used,232.84,2팀,Bliss,브리기테,0
[00:06:39] ,ability_2_used,241.58,1팀,Someone,시그마,0
[00:06:41] ,ability_2_used,244.01,2팀,skewed,주노,0
[00:06:41] ,ability_2_used,244.07,2팀,Bliss,브리기테,0
[00:06:42] ,ability_2_used,244.92,2팀,ZEST,벤데타,0
[00:06:42] ,ultimate_charged,245.29,1팀,Someone,시그마,0,2
[00:06:43] ,ability_2_used,245.93,2팀,DONGHAK,오리사,0
[00:06:44] ,ultimate_start,246.81,1팀,MER1T,캐서디,0,1
[00:06:44] ,ultimate_charged,247.10,2팀,skewed,주노,0,2
[00:06:44] ,ability_2_used,247.15,1팀,ChiYo,주노,0
[00:06:45] ,ability_1_used,247.51,1팀,CheckMate,시메트라,0
[00:06:45] ,ability_2_used,248.27,1팀,Fielder,키리코,0
[00:06:45] ,ability_1_used,248.31,1팀,Someone,시그마,0
[00:06:46] ,ultimate_end,248.94,1팀,MER1T,캐서디,0,1
[00:06:46] ,ability_1_used,249.07,2팀,skewed,주노,0
[00:06:46] ,ability_1_used,249.13,2팀,DONGHAK,오리사,0
[00:06:46] ,ability_2_used,249.21,1팀,MER1T,캐서디,0
[00:06:46] ,ability_1_used,249.21,1팀,CheckMate,시메트라,0
[00:06:46] ,ability_1_used,249.43,2팀,ZEST,벤데타,0
[00:06:47] ,ultimate_start,249.56,2팀,skewed,주노,0,2
[00:06:47] ,ability_1_used,249.79,1팀,CheckMate,시메트라,0
[00:06:47] ,ability_2_used,250.14,2팀,Proud,소전,0
[00:06:47] ,ultimate_start,250.28,1팀,Fielder,키리코,0,2
