[00:03:48] ,ability_1_used,83.23,1팀,ChiYo,브리기테,0
[00:03:49] ,ability_1_used,84.20,2팀,CH0R0NG,제트팩 캣,0
[00:03:50] ,ability_1_used,84.49,1팀,MER1T,프레야,0
[00:03:50] ,ability_2_used,84.81,1팀,ChiYo,브리기테,0
[00:03:50] ,ability_1_used,85.05,1팀,SP1NT,트레이서,0
[00:03:52] ,ability_1_used,86.41,2팀,HeeSang,트레이서,0
[00:03:52] ,ability_1_used,86.86,1팀,SP1NT,트레이서,0
[00:03:53] ,ability_1_used,87.66,1팀,SP1NT,트레이서,0
[00:03:53] ,ability_2_used,87.71,2팀,STALK3R,시온,0
[00:03:53] ,ability_1_used,88.24,1팀,ChiYo,브리기테,0
[00:03:53] ,ability_2_used,88.25,2팀,MAX,오리사,0
[00:03:54] ,****,88.49,1팀,Fielder,키리코,2팀,MAX,오리사,0,9.07,0,0
[00:03:54] ,defensive_assist,88.51,1팀,Fielder,키리코,0
[00:03:54] ,ability_1_used,88.68,2팀,HeeSang,트레이서,0
[00:03:54] ,offensive_assist,88.89,1팀,ChiYo,브리기테,0
[00:03:54] ,defensive_assist,88.89,1팀,ChiYo,브리기테,0
[00:03:55] ,ability_1_used,89.82,1팀,HanBin,해저드,0
[00:03:55] ,ability_2_used,90.12,1팀,MER1T,프레야,0
[00:03:56] ,ability_1_used,90.52,1팀,SP1NT,트레이서,0
[00:03:56] ,ability_1_used,90.86,1팀,MER1T,프레야,0
[00:03:56] ,ability_1_used,91.16,2팀,HeeSang,트레이서,0
[00:03:57] ,ability_1_used,91.39,1팀,Fielder,키리코,0
[00:03:58] ,ability_2_used,92.33,1팀,ChiYo,브리기테,0
[00:03:58] ,ability_1_used,93.10,2팀,HeeSang,트레이서,0
[00:03:58] ,ability_2_used,93.12,2팀,vigilante,아나,0
[00:03:58] ,hero_swap,93.28,1팀,HanBin,자리야,해저드,93.28
[00:03:59] ,ultimate_start,93.42,2팀,HeeSang,트레이서,0,1
[00:03:59] ,ability_1_used,93.50,2팀,STALK3R,시온,0
[00:03:59] ,ability_2_used,93.60,1팀,Fielder,키리코,0
[00:03:59] ,ability_2_used,93.61,2팀,HeeSang,트레이서,0
[00:03:59] ,ultimate_end,93.61,2팀,HeeSang,트레이서,0,1
[00:03:59] ,****,93.82,2팀,vigilante,아나,1팀,Fielder,키리코,Ability 2,78.27,0,0
[00:03:59] ,ability_1_used,94.17,1팀,ChiYo,브리기테,0
[00:04:00] ,ultimate_charged,94.49,2팀,vigilante,아나,0,1
[00:04:00] ,ability_1_used,94.51,1팀,SP1NT,트레이서,0
[00:04:00] ,ability_1_used,94.78,2팀,HeeSang,트레이서,0
[00:04:01] ,****,95.32,1팀,SP1NT,트레이서,2팀,HeeSang,트레이서,Melee,20.63,0,0
[00:04:01] ,defensive_assist,95.48,1팀,ChiYo,브리기테,0
[00:04:01] ,defensive_assist,95.56,1팀,Fielder,키리코,0
[00:04:02] ,ability_1_used,96.44,1팀,SP1NT,트레이서,0
[00:04:03] ,ability_1_used,97.52,1팀,MER1T,프레야,0
[00:04:03] ,ability_2_used,97.56,1팀,ChiYo,브리기테,0
[00:04:03] ,ability_2_used,97.60,2팀,CH0R0NG,제트팩 캣,0
[00:04:03] ,ultimate_charged,97.64,1팀,SP1NT,트레이서,0,1
[00:04:04] ,ability_1_used,98.43,1팀,MER1T,프레야,0
[00:04:04] ,ultimate_start,98.75,2팀,vigilante,아나,0,1
[00:04:04] ,ability_2_used,99.10,2팀,MAX,오리사,0
[00:04:05] ,ability_1_used,99.32,1팀,ChiYo,브리기테,0
[00:04:06] ,ability_1_used,100.38,2팀,vigilante,아나,0
[00:04:06] ,****,100.48,2팀,STALK3R,시온,1팀,ChiYo,브리기테,Primary Fire,27.69,0,0
[00:04:06] ,offensive_assist,100.62,2팀,vigilante,아나,0
[00:04:06] ,defensive_assist,100.62,2팀,vigilante,아나,0
[00:04:06] ,defensive_assist,100.70,2팀,CH0R0NG,제트팩 캣,0
[00:04:07] ,ability_1_used,101.44,1팀,SP1NT,트레이서,0
[00:04:07] ,ability_1_used,101.68,2팀,STALK3R,시온,0
[00:04:07] ,ability_1_used,102.22,1팀,SP1NT,트레이서,0
[00:04:08] ,ability_2_used,103.05,1팀,SP1NT,트레이서,0
[00:04:09] ,ability_1_used,103.63,1팀,MER1T,프레야,0
[00:04:10] ,ability_2_used,104.57,2팀,STALK3R,시온,0
[00:04:10] ,ability_1_used,104.95,1팀,HanBin,자리야,0
[00:04:11] ,ability_1_used,106.19,2팀,HeeSang,트레이서,0
[00:04:12] ,ability_1_used,106.36,2팀,HeeSang,트레이서,0
[00:04:12] ,ability_2_used,106.43,1팀,MER1T,프레야,0
[00:04:12] ,ultimate_end,106.87,2팀,vigilante,아나,0,1
[00:04:12] ,ability_1_used,106.92,2팀,HeeSang,트레이서,0
[00:04:13] ,ability_1_used,107.50,1팀,MER1T,프레야,0
[00:04:14] ,ability_2_used,108.54,2팀,vigilante,아나,0
[00:04:14] ,****,108.73,2팀,STALK3R,시온,1팀,MER1T,프레야,Primary Fire,37.50,True,0
[00:04:15] ,ability_2_used,109.29,2팀,MAX,오리사,0
[00:04:15] ,ability_1_used,109.45,2팀,STALK3R,시온,0
[00:04:16] ,ability_1_used,110.31,1팀,HanBin,자리야,0
[00:04:16] ,ultimate_charged,110.99,1팀,ChiYo,브리기테,0,1
[00:04:18] ,ability_1_used,113.08,1팀,Fielder,키리코,0
[00:04:18] ,ability_1_used,113.08,1팀,SP1NT,트레이서,0
[00:04:19] ,ability_1_used,113.31,2팀,HeeSang,트레이서,0
[00:04:19] ,ability_1_used,113.98,1팀,SP1NT,트레이서,0
[00:04:20] ,ability_1_used,114.95,1팀,SP1NT,트레이서,0
[00:04:20] ,ability_2_used,115.07,2팀,HeeSang,트레이서,0
[00:04:20] ,payload_progress,115.24,1,2팀,0,30.01
[00:04:22] ,ability_1_used,116.43,2팀,HeeSang,트레이서,0
[00:04:22] ,ability_1_used,117.10,1팀,SP1NT,트레이서,0
[00:04:23] ,ability_2_used,117.31,1팀,SP1NT,트레이서,0
[00:04:23] ,ability_1_used,117.71,2팀,CH0R0NG,제트팩 캣,0
[00:04:23] ,objective_updated,118.03,1,0,1
[00:04:23] ,objective_captured,118.03,1,2팀,1,0,0,271.96
[00:04:23] ,ability_1_used,118.17,2팀,HeeSang,트레이서,0
[00:04:24] ,ability_2_used,118.35,1팀,ChiYo,브리기테,0
[00:04:24] ,ability_1_used,118.95,2팀,HeeSang,트레이서,0
[00:04:24] ,ability_1_used,119.23,1팀,SP1NT,트레이서,0
[00:04:25] ,ultimate_charged,120.01,2팀,STALK3R,시온,0,1
[00:04:26] ,ability_2_used,120.28,1팀,ChiYo,브리기테,0
[00:04:26] ,ability_2_used,121.03,1팀,Fielder,키리코,0
[00:04:26] ,ability_2_used,121.16,1팀,HanBin,자리야,0
[00:04:26] ,ability_2_used,121.23,1팀,ChiYo,브리기테,0
[00:04:27] ,ultimate_charged,121.50,1팀,Fielder,키리코,0,1
[00:04:28] ,ability_1_used,122.52,1팀,ChiYo,브리기테,0
[00:04:28] ,ability_1_used,123.18,2팀,STALK3R,시온,0
[00:04:29] ,ability_1_used,124.06,1팀,SP1NT,트레이서,0
[00:04:29] ,ability_1_used,124.15,1팀,MER1T,프레야,0
[00:04:30] ,ability_1_used,124.47,1팀,Fielder,키리코,0
[00:04:31] ,ability_1_used,125.29,2팀,HeeSang,트레이서,0
[00:04:31] ,ability_2_used,125.43,2팀,STALK3R,시온,0
[00:04:32] ,ability_2_used,127.07,1팀,HanBin,자리야,0
[00:04:33] ,ability_1_used,127.64,1팀,ChiYo,브리기테,0
[00:04:33] ,ability_2_used,127.90,2팀,CH0R0NG,제트팩 캣,0
[00:04:33] ,ability_2_used,128.09,2팀,MAX,오리사,0
[00:04:34] ,ability_2_used,128.36,1팀,ChiYo,브리기테,0
[00:04:34] ,ability_1_used,128.79,1팀,SP1NT,트레이서,0
[00:04:34] ,****,129.26,2팀,CH0R0NG,제트팩 캣,1팀,Fielder,키리코,Melee,15.25,0,0
[00:04:35] ,ability_1_used,129.99,1팀,SP1NT,트레이서,0
[00:04:36] ,ability_1_used,130.54,2팀,MAX,오리사,0
[00:04:36] ,ability_1_used,131.13,1팀,SP1NT,트레이서,0
[00:04:37] ,ability_2_used,131.53,1팀,ChiYo,브리기테,0
[00:04:38] ,ability_1_used,132.49,1팀,ChiYo,브리기테,0
[00:04:39] ,ability_2_used,133.64,1팀,ChiYo,브리기테,0
[00:04:40] ,ability_1_used,134.70,1팀,MER1T,프레야,0
[00:04:40] ,ability_1_used,135.12,1팀,MER1T,프레야,0
[00:04:41] ,ability_1_used,135.32,2팀,CH0R0NG,제트팩 캣,0
[00:04:41] ,ability_1_used,135.84,1팀,SP1NT,트레이서,0
[00:04:41] ,****,135.98,1팀,MER1T,프레야,2팀,MAX,오리사,0,32.89,0,0
[00:04:41] ,ability_2_used,136.01,1팀,HanBin,자리야,0
[00:04:41] ,ultimate_charged,136.03,2팀,MAX,오리사,0,1
[00:04:42] ,defensive_assist,136.30,1팀,HanBin,자리야,0
[00:04:42] ,offensive_assist,136.38,1팀,ChiYo,브리기테,0
[00:04:42] ,defensive_assist,136.38,1팀,ChiYo,브리기테,0
