[00:04:05] ,ability_1_used,132.60,1팀,ChiYo,브리기테,0
[00:04:06] ,ability_1_used,133.71,2팀,HeeSang,트레이서,0
[00:04:06] ,ability_1_used,133.72,1팀,MER1T,프레야,0
[00:04:06] ,ability_2_used,134.04,1팀,Someone,라마트라,0
[00:04:07] ,ability_2_used,135.02,1팀,ChiYo,브리기테,0
[00:04:08] ,point_progress,135.29,1,1팀,2,33.36
[00:04:08] ,ability_1_used,135.34,1팀,SP1NT,트레이서,0
[00:04:09] ,ability_1_used,136.70,1팀,SP1NT,트레이서,0
[00:04:09] ,ability_1_used,137.07,2팀,STALK3R,프레야,0
[00:04:10] ,ultimate_start,137.68,1팀,Fielder,키리코,0,1
[00:04:10] ,ability_1_used,137.84,2팀,HeeSang,트레이서,0
[00:04:11] ,ability_1_used,138.69,2팀,HeeSang,트레이서,0
[00:04:11] ,ultimate_start,139.17,2팀,vigilante,키리코,0,1
[00:04:13] ,ability_1_used,140.41,2팀,vigilante,키리코,0
[00:04:13] ,ability_1_used,140.78,2팀,HeeSang,트레이서,0
[00:04:13] ,ability_1_used,140.85,1팀,SP1NT,트레이서,0
[00:04:13] ,ability_1_used,141.04,1팀,MER1T,프레야,0
[00:04:13] ,ability_1_used,141.10,2팀,STALK3R,프레야,0
[00:04:14] ,ability_1_used,141.21,2팀,CH0R0NG,미즈키,0
[00:04:14] ,ability_1_used,141.62,1팀,MER1T,프레야,0
[00:04:14] ,ability_1_used,141.73,1팀,ChiYo,브리기테,0
[00:04:14] ,ability_1_used,141.89,2팀,MAX,시그마,0
[00:04:15] ,ability_2_used,142.46,1팀,ChiYo,브리기테,0
[00:04:15] ,ultimate_start,142.85,2팀,CH0R0NG,미즈키,0,1
[00:04:16] ,ability_1_used,143.31,1팀,SP1NT,트레이서,0
[00:04:16] ,ability_1_used,143.42,2팀,HeeSang,트레이서,0
[00:04:16] ,ability_1_used,143.54,1팀,Someone,라마트라,0
[00:04:16] ,ability_2_used,143.60,1팀,SP1NT,트레이서,0
[00:04:16] ,ability_2_used,144.08,1팀,Someone,라마트라,0
[00:04:17] ,ability_1_used,144.75,1팀,MER1T,프레야,0
[00:04:17] ,ability_2_used,144.98,2팀,MAX,시그마,0
[00:04:17] ,ultimate_charged,145.04,1팀,Someone,라마트라,0,1
[00:04:18] ,ability_1_used,145.26,2팀,HeeSang,트레이서,0
[00:04:18] ,ultimate_start,145.50,1팀,Someone,라마트라,0,1
[00:04:18] ,ability_2_used,145.71,1팀,Fielder,키리코,0
[00:04:18] ,ability_2_used,145.78,1팀,ChiYo,브리기테,0
[00:04:18] ,ultimate_charged,145.82,2팀,MAX,시그마,0,1
[00:04:18] ,ability_2_used,146.06,2팀,CH0R0NG,미즈키,0
[00:04:19] ,ability_1_used,146.34,2팀,HeeSang,트레이서,0
[00:04:19] ,ability_1_used,146.48,2팀,STALK3R,프레야,0
[00:04:19] ,ability_1_used,146.66,1팀,SP1NT,트레이서,0
[00:04:19] ,ability_1_used,147.04,1팀,SP1NT,트레이서,0
[00:04:20] ,ultimate_start,147.70,2팀,MAX,시그마,0,1
[00:04:20] ,ability_1_used,147.94,2팀,HeeSang,트레이서,0
