[00:07:43] ,ultimate_charged,279.83,2팀,shu,미즈키,0,2
[00:07:45] ,hero_swap,281.56,2팀,Viol2t,키리코,주노,2.34
[00:07:52] ,objective_updated,289.45,3,4,3
[00:07:52] ,objective_captured,289.45,3,All Teams,3,0,0,40
[00:07:52] ,player_stat,289.46,3,2팀,Proper,브리기테,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[00:07:52] ,player_stat,289.46,3,2팀,Proper,캐서디,3,1,2,5964.56,0,5964.56,0,1588.77,0,2230.76,0,0,0,2,1,0,0,0,0,0,0,18,0.22,0,0,0,207,81,93,0,0,0.47,289.46
[00:07:52] ,player_stat,289.46,3,2팀,knife,엠레,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[00:07:52] ,player_stat,289.46,3,2팀,knife,시메트라,2,1,2,4273.53,0,4037.02,0,2834.48,0,3384.49,537.58,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,127,28,88,0,0,0.24,289.46
[00:07:52] ,player_stat,289.46,3,2팀,Mealgaru,레킹볼,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[00:07:52] ,player_stat,289.46,3,2팀,Mealgaru,시그마,4,3,2,4791.02,0,4684.88,0,4165.48,0,6100.30,6660.49,0,0,2,1,0,0,0,3,0,0,0,0,0,0,0,130,53,45,0,0,0.54,289.46
[00:07:52] ,player_stat,289.46,3,1팀,HanBin,D.Va,6,2,1,5736.32,1237.58,4072.79,0,8777.06,0,11090.14,10151.86,0,0,2,4,0,0,0,3,0,0,93,0.07,0,0,0,5020,1305,3104,0,0,0.30,289.46
[00:07:52] ,player_stat,289.46,3,1팀,HanBin,시그마,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[00:07:52] ,player_stat,289.46,3,1팀,Fielder,아나,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[00:07:52] ,player_stat,289.46,3,1팀,Fielder,키리코,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[00:07:52] ,player_stat,289.46,3,1팀,Fielder,일리아리,3,1,2,5143.16,973.48,3472.44,2992.68,1749.39,921.36,2949.62,0,0,1,2,2,0,0,0,2,0,0,10,0.18,0,0,0,120,56,44,0,0,0.56,289.46
[00:07:52] ,player_stat,289.46,3,2팀,shu,미즈키,3,1,2,2225,0,2225,4112.01,1691.33,0,2339.71,0,3,0,2,1,0,0,0,0,0,0,2,0.06,0,0,0,191,33,120,0,0,0.22,289.46
[00:07:52] ,player_stat,289.46,3,1팀,SP1NT,시메트라,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.96
[00:07:52] ,player_stat,289.46,3,1팀,SP1NT,트레이서,5,2,2,4714.80,1198.14,2568.02,0,1197.92,439.22,2038.93,0,0,0,2,2,0,0,0,3,0,0,33,0.06,0,0,0,1852,554,1008,0,0,0.35,286.50
[00:07:52] ,player_stat,289.46,3,2팀,Viol2t,주노,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,52,0,0,0,10.22
[00:07:52] ,player_stat,289.46,3,2팀,Viol2t,일리아리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[00:07:52] ,player_stat,289.46,3,2팀,Viol2t,모이라,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[00:07:52] ,player_stat,289.46,3,2팀,Viol2t,브리기테,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[00:07:52] ,player_stat,289.46,3,2팀,Viol2t,우양,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[00:07:52] ,player_stat,289.46,3,2팀,Viol2t,키리코,2,1,1,2482.39,0,2442,6612.65,1442.42,0,1684.42,0,4,2,2,4,0,0,1,0,0,0,5,0.13,0,0,0,216,40,137,0,0,0.23,275.67
[00:07:52] ,player_stat,289.46,3,2팀,Viol2t,라이프위버,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57
[00:07:52] ,player_stat,289.46,3,1팀,MER1T,캐서디,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[00:07:52] ,player_stat,289.46,3,1팀,MER1T,소전,2,0,2,6002.31,2190.32,3053.94,0,813.03,0,1274.92,0,0,0,1,1,0,0,0,2,0,0,42,0.17,0,0,0,1255,248,732,0,0,0.25,185.84
[00:07:52] ,player_stat,289.46,3,1팀,MER1T,엠레,4,3,0,3638.62,587.64,1908.87,0,713.63,72.16,1213.41,0,0,0,0,0,0,0,1,1,0,0,9,0.08,0.52,0,0,263,110,129,116,60,0.46,103.62
[00:07:52] ,player_stat,289.46,3,1팀,ChiYo,루시우,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[00:07:52] ,player_stat,289.46,3,1팀,ChiYo,주노,2,1,0,2018.17,1010.90,643.64,0,504.87,0,811.93,0,0,0,2,1,0,0,0,1,0,0,50,0.03,0,0,0,2922,1535,1253,0,0,0.55,289.46
[00:07:52] ,player_stat,289.46,3,1팀,ChiYo,미즈키,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[00:08:08] ,****,305.39,1팀,Fielder,일리아리,2팀,Viol2t,키리코,Primary Fire,26.07,0,0
[00:08:10] ,ultimate_charged,306.86,1팀,MER1T,엠레,0,2
[00:08:14] ,ultimate_start,310.53,1팀,ChiYo,주노,0,2
[00:08:14] ,ultimate_start,310.56,2팀,shu,미즈키,0,2
