[00:03:28] ,ability_1_used,164.41,1팀,sugarfree,트레이서,0
[00:03:28] ,ability_2_used,165.05,1팀,Admiral,브리기테,0
[00:03:31] ,ability_1_used,167.21,1팀,sugarfree,트레이서,0
[00:03:31] ,ability_2_used,167.50,2팀,Someone,시그마,0
[00:03:31] ,ability_1_used,168.06,1팀,sugarfree,트레이서,0
[00:03:32] ,****,169.03,2팀,MER1T,소전,1팀,sugarfree,트레이서,Primary Fire,16,True,0
[00:03:32] ,ability_1_used,169.10,2팀,Fielder,키리코,0
[00:03:34] ,ability_2_used,170.99,1팀,Hawk,라마트라,0
[00:03:35] ,ability_1_used,171.43,1팀,Lethal,소전,0
[00:03:35] ,ability_1_used,171.50,1팀,UltraViolet,키리코,0
[00:03:35] ,ability_1_used,172.12,2팀,CheckMate,시메트라,0
[00:03:35] ,ability_1_used,172.15,2팀,ChiYo,미즈키,0
[00:03:37] ,ability_2_used,173.95,2팀,ChiYo,미즈키,0
[00:03:38] ,ability_2_used,175.16,1팀,UltraViolet,키리코,0
[00:03:39] ,ability_1_used,175.77,1팀,Hawk,라마트라,0
[00:03:40] ,ability_2_used,176.33,2팀,MER1T,소전,0
[00:03:40] ,ultimate_charged,176.36,1팀,Hawk,라마트라,0,1
[00:03:40] ,ability_1_used,176.78,2팀,CheckMate,시메트라,0
[00:03:41] ,ability_1_used,177.37,2팀,Fielder,키리코,0
[00:03:41] ,ultimate_start,177.98,2팀,MER1T,소전,0,1
[00:03:42] ,ability_1_used,178.85,1팀,UltraViolet,키리코,0
[00:03:42] ,ability_2_used,178.93,1팀,Lethal,소전,0
[00:03:43] ,ability_2_used,179.21,2팀,Someone,시그마,0
[00:03:43] ,****,179.28,2팀,CheckMate,시메트라,1팀,Hawk,라마트라,Secondary Fire,54.13,0,0
[00:03:43] ,ability_1_used,179.36,2팀,MER1T,소전,0
[00:03:43] ,defensive_assist,179.58,2팀,Fielder,키리코,0
[00:03:43] ,ability_1_used,179.79,1팀,sugarfree,트레이서,0
[00:03:43] ,ability_2_used,180.05,2팀,CheckMate,시메트라,0
[00:03:44] ,ability_1_used,180.86,1팀,sugarfree,트레이서,0
[00:03:45] ,ability_1_used,181.45,1팀,Lethal,소전,0
[00:03:45] ,payload_progress,182.00,1,2팀,2,70.02
[00:03:47] ,ability_1_used,183.82,2팀,ChiYo,미즈키,0
[00:03:49] ,ability_1_used,185.25,1팀,Admiral,브리기테,0
[00:03:49] ,****,185.31,2팀,Someone,시그마,1팀,UltraViolet,키리코,Primary Fire,1.74,0,0
[00:03:50] ,ability_1_used,186.37,1팀,sugarfree,트레이서,0
[00:03:50] ,ultimate_end,186.72,2팀,MER1T,소전,0,1
[00:03:50] ,ability_1_used,186.83,1팀,sugarfree,트레이서,0
[00:03:54] ,ability_1_used,190.26,1팀,Hawk,라마트라,0
[00:03:56] ,ability_2_used,192.39,2팀,MER1T,소전,0
[00:03:59] ,ability_1_used,195.67,2팀,CheckMate,시메트라,0
[00:04:00] ,ability_1_used,196.93,1팀,sugarfree,트레이서,0
[00:04:00] ,ability_1_used,197.12,1팀,UltraViolet,키리코,0
[00:04:01] ,ability_2_used,197.69,2팀,CheckMate,시메트라,0
[00:04:01] ,payload_progress,197.70,1,2팀,2,80.02
[00:04:04] ,ability_1_used,200.21,2팀,MER1T,소전,0
[00:04:04] ,ability_1_used,201.00,2팀,Fielder,키리코,0
[00:04:05] ,ability_1_used,201.48,1팀,sugarfree,트레이서,0
[00:04:05] ,ability_1_used,201.86,1팀,sugarfree,트레이서,0
[00:04:05] ,ability_1_used,202.04,2팀,CheckMate,시메트라,0
[00:04:07] ,ability_1_used,203.40,2팀,CheckMate,시메트라,0
[00:04:08] ,ultimate_charged,204.68,1팀,sugarfree,트레이서,0,2
[00:04:08] ,ability_2_used,204.82,2팀,Someone,시그마,0
[00:04:09] ,ability_2_used,205.34,1팀,sugarfree,트레이서,0
[00:04:10] ,ability_1_used,206.55,1팀,Lethal,소전,0
[00:04:10] ,ability_1_used,206.63,1팀,Admiral,브리기테,0
[00:04:10] ,ultimate_charged,207.03,1팀,Admiral,브리기테,0,1
[00:04:11] ,ability_1_used,208.07,1팀,sugarfree,트레이서,0
[00:04:12] ,ability_2_used,208.47,2팀,Fielder,키리코,0
[00:04:12] ,ability_1_used,208.76,1팀,sugarfree,트레이서,0
[00:04:13] ,ability_2_used,209.24,1팀,Hawk,라마트라,0
[00:04:13] ,ability_1_used,209.82,1팀,sugarfree,트레이서,0
[00:04:13] ,ability_2_used,210.06,2팀,MER1T,소전,0
[00:04:14] ,ability_1_used,210.97,1팀,UltraViolet,키리코,0
[00:04:15] ,ultimate_start,211.56,1팀,Admiral,브리기테,0,1
[00:04:15] ,ability_1_used,211.71,2팀,Fielder,키리코,0
[00:04:15] ,ultimate_start,212.17,2팀,Fielder,키리코,0,1
[00:04:16] ,ability_1_used,212.24,2팀,Someone,시그마,0
[00:04:16] ,ability_1_used,213.18,1팀,Admiral,브리기테,0
[00:04:17] ,offensive_assist,213.53,1팀,Hawk,라마트라,0
[00:04:17] ,****,213.53,1팀,UltraViolet,키리코,2팀,MER1T,소전,0,5.28,True,0
[00:04:17] ,defensive_assist,213.55,1팀,UltraViolet,키리코,0
[00:04:17] ,offensive_assist,214.01,1팀,Admiral,브리기테,0
[00:04:17] ,defensive_assist,214.01,1팀,Admiral,브리기테,0
[00:04:18] ,ability_1_used,214.92,1팀,sugarfree,트레이서,0
[00:04:18] ,payload_progress,214.99,1,2팀,2,90.01
[00:04:18] ,ability_2_used,215.00,1팀,Admiral,브리기테,0
[00:04:20] ,ability_2_used,216.78,2팀,Someone,시그마,0
[00:04:20] ,ability_1_used,216.88,1팀,sugarfree,트레이서,0
[00:04:20] ,ability_1_used,216.97,1팀,Hawk,라마트라,0
[00:04:21] ,ability_2_used,217.79,1팀,Lethal,소전,0
[00:04:21] ,ability_1_used,217.98,2팀,ChiYo,미즈키,0
[00:04:22] ,ability_2_used,218.64,2팀,CheckMate,시메트라,0
[00:04:23] ,ability_2_used,219.36,2팀,Fielder,키리코,0
[00:04:23] ,ability_1_used,219.55,1팀,Admiral,브리기테,0
[00:04:23] ,ability_1_used,219.60,1팀,Lethal,소전,0
[00:04:23] ,ability_1_used,220.05,1팀,sugarfree,트레이서,0
[00:04:24] ,ability_2_used,221.09,1팀,Admiral,브리기테,0
[00:04:25] ,ultimate_end,221.57,1팀,Admiral,브리기테,0,1
[00:04:27] ,ultimate_end,223.36,2팀,Fielder,키리코,0,1
[00:04:27] ,ability_2_used,223.63,1팀,Hawk,라마트라,0
[00:04:28] ,ability_1_used,224.77,1팀,sugarfree,트레이서,0
[00:04:28] ,ability_2_used,224.82,1팀,Admiral,브리기테,0
[00:04:29] ,ability_1_used,225.55,1팀,sugarfree,트레이서,0
[00:04:29] ,ability_2_used,225.73,1팀,Admiral,브리기테,0
[00:04:29] ,ultimate_start,226.05,1팀,sugarfree,트레이서,0,2
[00:04:30] ,ability_2_used,226.24,1팀,sugarfree,트레이서,0
[00:04:30] ,ultimate_end,226.24,1팀,sugarfree,트레이서,0,2
[00:04:30] ,ability_1_used,226.82,1팀,Admiral,브리기테,0
