[00:03:14] ,ability_2_used,74.93,2팀,ChiYo,브리기테,0
[00:03:14] ,ability_1_used,75.26,2팀,ChiYo,브리기테,0
[00:03:14] ,ability_1_used,75.33,2팀,SP1NT,트레이서,0
[00:03:14] ,ability_1_used,75.73,1팀,kellex,루시우,0
[00:03:14] ,ability_1_used,75.79,2팀,MER1T,소전,0
[00:03:15] ,ability_2_used,76.32,1팀,LBBD7,소전,0
[00:03:15] ,ability_2_used,76.62,2팀,Someone,라마트라,0
[00:03:15] ,ability_2_used,76.86,1팀,AlphaYi,벤데타,0
[00:03:16] ,ability_1_used,77.31,1팀,LBBD7,소전,0
[00:03:16] ,ability_2_used,77.89,2팀,Fielder,키리코,0
[00:03:17] ,ability_2_used,78.00,2팀,MER1T,소전,0
[00:03:17] ,ability_1_used,78.21,1팀,FiNN,키리코,0
[00:03:17] ,ability_2_used,78.57,2팀,ChiYo,브리기테,0
[00:03:18] ,ability_2_used,79.12,1팀,FiNN,키리코,0
[00:03:18] ,ability_1_used,79.71,1팀,kellex,루시우,0
[00:03:18] ,point_progress,79.77,1,1팀,0,33.36
[00:03:19] ,ability_2_used,80.38,1팀,Risk,마우가,0
[00:03:20] ,ability_1_used,80.92,2팀,SP1NT,트레이서,0
[00:03:20] ,point_progress,81.40,1,1팀,0,66.86
[00:03:20] ,ability_1_used,81.47,1팀,AlphaYi,벤데타,0
[00:03:20] ,ability_1_used,81.87,2팀,SP1NT,트레이서,0
[00:03:21] ,ability_1_used,82.06,2팀,Someone,라마트라,0
[00:03:21] ,ability_2_used,82.27,1팀,kellex,루시우,0
[00:03:22] ,ability_1_used,83.13,2팀,ChiYo,브리기테,0
[00:03:22] ,ultimate_charged,83.13,2팀,SP1NT,트레이서,0,1
[00:03:22] ,ability_1_used,83.60,2팀,SP1NT,트레이서,0
[00:03:22] ,****,83.63,1팀,Risk,마우가,2팀,MER1T,소전,0,3.41,0,0
[00:03:22] ,defensive_assist,83.71,1팀,Risk,마우가,0
[00:03:22] ,defensive_assist,83.74,1팀,FiNN,키리코,0
[00:03:22] ,ultimate_start,83.77,2팀,SP1NT,트레이서,0,1
[00:03:23] ,ultimate_end,83.96,2팀,SP1NT,트레이서,0,1
[00:03:23] ,ability_2_used,84.14,2팀,ChiYo,브리기테,0
[00:03:23] ,ability_1_used,84.32,1팀,kellex,루시우,0
[00:03:23] ,ability_1_used,84.40,2팀,Fielder,키리코,0
[00:03:23] ,ability_2_used,84.43,2팀,SP1NT,트레이서,0
[00:03:23] ,ability_1_used,84.44,1팀,LBBD7,소전,0
[00:03:23] ,ability_1_used,84.65,1팀,Risk,마우가,0
[00:03:24] ,****,85.13,2팀,SP1NT,트레이서,1팀,LBBD7,소전,Ultimate,158.77,0,0
[00:03:24] ,ability_1_used,85.20,1팀,FiNN,키리코,0
[00:03:24] ,offensive_assist,85.21,2팀,ChiYo,브리기테,0
[00:03:24] ,defensive_assist,85.21,2팀,ChiYo,브리기테,0
[00:03:25] ,ability_2_used,86.49,1팀,AlphaYi,벤데타,0
[00:03:26] ,****,87.63,2팀,Someone,라마트라,1팀,FiNN,키리코,Ability 1,60.67,0,0
[00:03:26] ,****,87.85,1팀,FiNN,키리코,2팀,ChiYo,브리기테,0,11.54,0,0
[00:03:27] ,defensive_assist,87.96,1팀,FiNN,키리코,0
