[00:05:04] ,defensive_assist,254.46,1팀,Fielder,키리코,0
[00:05:05] ,****,255.42,1팀,HanBin,마우가,2팀,Proper,시메트라,0,0.45,0,0
[00:05:06] ,defensive_assist,255.77,1팀,ChiYo,미즈키,0
[00:05:06] ,defensive_assist,255.79,1팀,HanBin,마우가,0
[00:05:06] ,defensive_assist,255.87,1팀,Fielder,키리코,0
[00:05:07] ,objective_captured,257.18,2,1팀,1,0.02,44.96,0
[00:05:09] ,****,259.04,1팀,SP1NT,안란,2팀,shu,미즈키,Melee,25.85,0,0
[00:05:09] ,defensive_assist,259.08,1팀,ChiYo,미즈키,0
[00:05:09] ,defensive_assist,259.15,1팀,Fielder,키리코,0
[00:05:09] ,ultimate_end,259.23,2팀,Viol2t,키리코,0,2
[00:05:29] ,ultimate_charged,279.40,1팀,ChiYo,미즈키,0,2
[00:05:35] ,ultimate_start,284.95,1팀,ChiYo,미즈키,0,2
[00:05:35] ,ultimate_start,285.08,1팀,SP1NT,안란,0,2
[00:05:36] ,ultimate_start,286.17,2팀,Proper,시메트라,0,1
[00:05:37] ,ultimate_end,287.40,1팀,SP1NT,안란,0,2
[00:05:40] ,ultimate_charged,290.53,1팀,Fielder,키리코,0,2
[00:05:41] ,****,291.20,1팀,MER1T,캐서디,2팀,shu,미즈키,0,1.56,0,0
[00:05:41] ,ultimate_end,291.46,1팀,ChiYo,미즈키,0,2
[00:05:41] ,defensive_assist,291.54,1팀,ChiYo,미즈키,0
[00:05:42] ,****,292.13,1팀,SP1NT,안란,2팀,Proper,시메트라,Ability 2,28.57,0,0
[00:05:42] ,offensive_assist,292.37,1팀,HanBin,마우가,0
[00:05:42] ,defensive_assist,292.47,1팀,ChiYo,미즈키,0
[00:05:42] ,defensive_assist,292.52,1팀,Fielder,키리코,0
[00:05:42] ,****,292.66,1팀,SP1NT,안란,2팀,Mealgaru,마우가,0,0.07,0,0
[00:05:43] ,offensive_assist,292.84,1팀,HanBin,마우가,0
[00:05:43] ,defensive_assist,292.84,1팀,HanBin,마우가,0
[00:05:43] ,defensive_assist,292.93,1팀,ChiYo,미즈키,0
[00:05:43] ,offensive_assist,292.98,1팀,Fielder,키리코,0
[00:05:43] ,defensive_assist,292.98,1팀,Fielder,키리코,0
[00:05:44] ,****,294.13,1팀,MER1T,캐서디,2팀,Viol2t,키리코,Primary Fire,59.21,0,0
[00:05:44] ,offensive_assist,294.28,1팀,HanBin,마우가,0
[00:05:44] ,defensive_assist,294.36,1팀,ChiYo,미즈키,0
[00:05:44] ,****,294.68,2팀,knife,캐서디,1팀,MER1T,캐서디,0,3.22,0,0
[00:05:46] ,****,295.80,1팀,ChiYo,미즈키,2팀,knife,캐서디,Primary Fire,4.80,0,0
[00:05:46] ,offensive_assist,296.15,1팀,HanBin,마우가,0
[00:05:46] ,defensive_assist,296.21,1팀,ChiYo,미즈키,0
